s_no,url,level,abp,lbp,aap,lap,include
21,https://le.utah.gov/xcode/Title9/9.html,utahstate,50,660,1750,15,1
22,https://titleix.ucr.edu/,ucr,110,58641,230,469,1
23,https://compliance.ucr.edu/office-title-ix-equal-opportunity-affirmative-action,ucr,110,11695,270,255,0
24,https://help.ucr.edu/title-ix-office,ucr,110,8604,210,42,0
25,https://help.ucr.edu/title-ix-equal-opportunity-and-affirmative-action,ucr,50,219,190,47,1
26,https://www.ucrhealth.org/reporting-sexual-harassment-and-misconduct-at-uc-riverside-health/,ucr,0,7,10,6,0
27,https://studentdocs.ucr.edu/sexual-violence/uc-riverside_sexual-violence_adjudication-procedures.pdf,ucr,110,7647,120,38,0
28,https://titleix.ucr.edu/education,ucr,110,9678,240,195,1
29,https://titleix.ucr.edu/rights-options-students,ucr,110,12055,240,169,1
30,https://titleix.ucr.edu/reporting,ucr,100,13035,300,332,1
31,https://compliance.berkeley.edu/laws-regulations/title-ix,ucb,50,752,180,137,1
32,https://ophd.berkeley.edu/,ucb,50,2099,160,568,1
33,https://ucop.edu/title-ix/index.html,ucb,110,16025,300,102,1
34,https://www2.ed.gov/about/offices/list/ocr/docs/investigations/more/09152296-b.pdf,ucb,100,3893,210,56,0
35,https://titleix.utexas.edu/,utaustin,50,1075,270,141,1
36,https://titleix.utexas.edu/file-a-report,utaustin,60,1441,260,224,1
37,https://titleix.utexas.edu/policies,utaustin,50,876,310,126,1
38,https://www.ischool.utexas.edu/sexual-misconduct-and-title-ix,utaustin,60,828,270,158,1
39,https://law.utexas.edu/students/title-ix/,utaustin,60,1928,320,279,1
40,https://global.utexas.edu/risk/resources/travel-safety/title-ix,utaustin,30,717,110,159,1
41,https://news.utexas.edu/topics-in-the-news/faculty-misconduct/,utaustin,60,2198,340,336,1
42,https://cms.utsystem.edu/sites/clase/programs-policies-resources/ut-austin,utaustin,60,594,210,149,1
43,https://sexualassault.utah.edu/reporting/title-ix-on-campus-reporting/,uutah,50,3488,100,1615,1
44,https://oeo.utah.edu/,uutah,30,2058,70,827,1
45,https://process.oeo.utah.edu/,uutah,50,594,160,136,1
46,https://oeo.utah.edu/how-can-we-help/sexual-misconduct.php,uutah,60,4287,90,807,1
47,https://our.utah.edu/ures/research-safety-title-ix/,uutah,30,466,80,144,1
48,https://oeo.utah.edu/resources/Title%20IX%20Training%20Materials.php,uutah,30,1821,70,777,1
49,https://sexualassault.utah.edu/reporting/mandatory-reporters/,uutah,40,1681,120,390,1
50,https://special-ed.utah.edu/resource-pages/handbooks-policies/title-9.php,uutah,20,654,60,213,1
51,https://studentlife.mit.edu/titleix,mit,171,110,1540,9,0
52,https://idhr.mit.edu/title-ix/sexual-harassment,mit,172,1111,500,299,1
53,https://idhr.mit.edu/policies-procedures/faculty/faq,mit,177,1441,500,401,1
54,https://titleix-archive-2.mit.edu/about/titleix,mit,96,439,440,75,1
55,https://idhr.mit.edu/reporting-options,mit,138,1351,490,290,1
56,https://idhr.mit.edu/policies-procedures/students/overview,mit,168,1152,510,300,1
57,https://idhr.mit.edu/formal-complaint-processes/hearing-process,mit,117,17184,420,330,1
58,https://idhr.mit.edu/supportive-measures/supportive-measures-actions,mit,169,1045,520,267,1
59,https://policies.mit.edu/policies-procedures/90-relations-and-responsibilities-within-mit-community/95-harassment,mit,60,7709,190,1378,1
60,https://idhr.mit.edu/reporting-options/confidential-resources,mit,160,1147,540,270,1
61,https://titleix.college.harvard.edu/,harvard,56,297,180,71,1
62,https://oge.harvard.edu/policies-procedures,harvard,58,504,130,160,1
63,https://www.gov.harvard.edu/about/title-ix/title-ix-resources/,harvard,61,5693,180,303,1
64,https://titleix.college.harvard.edu/policies,harvard,101,10019,210,113,1
65,https://titleix.college.harvard.edu/resources,harvard,65,396,220,87,1
66,https://hls.harvard.edu/staff-dashboard/human-resources/title-ix/,harvard,110,20085,1310,361,1
67,"https://www.mass.gov/info-details/massachusetts-law-about-sexual-harassment#:~:text=Title%20IX%20prohibits%20discrimination%20on,%2C%20including%20K%2D12%20schools.",mass,107,55480,580,1617,1
69,https://www.mass.gov/news/healey-driscoll-administration-submits-comment-in-support-of-biden-harris-administrations-proposed-title-ix-changes,mass,128,15321,2570,179,1
70,"https://marylandpublicschools.org/programs/Pages/Operations/Equity-Assurance/Title-IX.aspx#:~:text=About%20Title%20IX&text=It%20states%3A,or%20activity%20receiving%20federal%20assistance.%E2%80%9D",my,75,21487,180,1370,1
71,https://mhec.maryland.gov/Pages/Title-IX-Campus-Sexual-Assault-Proceedings.aspx,my,79,370,270,23,1
72,https://mhec.maryland.gov/Pages/Title-IX-Campus-Sexual-Assault-Proceedings---Attorney-List.aspx,my,82,1593,250,26,1
73,https://ocrsm.umd.edu/,umd,45,948,180,142,1
74,https://ocrsm.umd.edu/sexual-misconduct,umd,103,14671,1470,189,1
75,https://academiccatalog.umd.edu/undergraduate/campus-administration-resources-student-services/student-programs-services/office-civil-rights-sexual-misconduct/,umd,45,18890,140,2781,1
76,https://www.umces.edu/sexual-misconduct-resources,umd,23,167,40,60,1
77,https://ecr.umbc.edu/gender-discrimination-sexual-misconduct/,umbc,81,5360,280,1156,1
78,https://gradschool.umbc.edu/students/title-ix-training/,umbc,26,887,50,249,1
79,https://www.umaryland.edu/titleix/,umb,33,5991,90,1155,1
80,https://www.umaryland.edu/titleix/policies-and-procedures/,umb,52,8171,210,1346,1
81,https://www.umaryland.edu/titleix/training/,umb,37,4880,110,940,1
82,https://www.umaryland.edu/policies-and-procedures/library/administration/policies/vi-160a.php,umb,82,2102,310,414,1
83,https://www.umaryland.edu/non-discrimination/,umb,33,4323,100,812,1
84,https://www.umaryland.edu/titleix/resources-and-references/,umb,92,25178,240,489,1
85,https://ed.sc.gov/policy/federal-education-programs/every-student-succeeds-act-essa-title-ix-part-a-mckinney-vento-homeless-assistance-act/,scstate,67,9507,190,1084,1
86,https://www.scstatehouse.gov/code/statmast.php,scstate,41,462,110,100,1
87,https://sccharter.org/title-ix/,scstate,58,2963,210,137,1
88,https://www.scstatehouse.gov/code/t59c029.php,scstate,135,899,410,218,1
89,https://ed.sc.gov/jobs/human-resources/title-ix-compliance/,scstate,34,227,60,18,0
90,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/,usc,38,1302,100,340,1
91,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/policies_and_procedures/,usc,54,5303,130,212,1
92,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/training_and_education/index.php,usc,33,1104,90,239,1
93,https://sc.edu/safety/interpersonal-violence/title-ix/index.php,usc,41,2721,90,811,1
94,https://sc.edu/about/offices_and_divisions/civil_rights_title_ix/resources/resources_for_pregnant_and_parenting_students/index.php,usc,39,1292,90,382,1
95,https://sc.edu/safety/interpersonal-violence/laws_and_policy/index.php,usc,76,11280,230,588,1
96,https://www.uscupstate.edu/diversity/title-ix/,usc,32,1519,110,254,1
97,"https://benedict.edu/title-ix-policy-statement/#:~:text=As%20a%20recipient%20of%20federal,the%20basis%20of%20sex%2Fgender.",bc,75,1872,200,490,1
98,https://www.benedict.edu/wp-content/uploads/2021/12/BC-Title-IX-Sexual-Misconduct-Policy-Draft-Update-eb09282021-Copy-final-Copy.pdf,bc,88,13299,210,214,0
99,https://benedict.edu/office-of-admissions-and-recruitment/office-of-financial-aid-and-scholarships/return-of-title-iv-funds-policy/,bc,69,2572,180,705,1
100,https://benedict.edu/policy-and-procedures-for-handling-complaints-made-against-benedict-college/,bc,76,1870,220,454,1
101,https://www.ksde.org/Agency/Division-of-Learning-Services/Student-Staff-Training/Prevention-and-Responsive-Culture/Sexual-Harassment-Title-IX,kstate,38,8164,70,875,1
102,https://www.kckschools.org/federal-programs/title-ix-information,kstate,106,4375,390,152,1
103,https://oese.ed.gov/state-nonpublic-education-regulation-map/kansas-state-regulations/,kstate,150,368,390,123,1
104,https://www.kshsaa.org/Public/TitleIX/Main.cfm,kstate,192,267,350,124,1
105,https://civilrights.ku.edu/,uk,38,1281,270,103,1
106,https://policy.ku.edu/civil-rights/title-ix-resolution-process,uk,103,15780,580,1474,1
107,https://policy.ku.edu/office/Office-of-Civil-Rights-and-Title-IX,uk,95,11261,590,925,1
108,https://www.kumc.edu/office-of-integrity-and-compliance/civil-rights-and-title-ix/title-ix-and-sexual-violence.html,uk,48,2093,230,292,1
109,https://www.kumc.edu/office-of-integrity-and-compliance/civil-rights-and-title-ix.html,uk,40,1360,190,176,1
110,https://www.k-state.edu/oie/titleix/,ksu,138,2513,480,466,1
111,https://www.k-state.edu/oie/education/,ksu,104,1184,420,148,1
112,https://www.k-state.edu/policies/ppm/3000/3010.html,ksu,83,8001,430,972,1
113,https://www.k-state.edu/oie/titleix/documents/Title%20IX%20and%20PPM%203010%20FAQs%20--%20website.pdf,ksu,117,12157,230,28,0
114,https://www.k-state.edu/oie/resources.html,ksu,116,2013,520,298,1
115,https://www.k-state.edu/care/get-help/rights/,ksu,138,594,430,153,1
116,https://www.k-state.edu/nondiscrimination/,ksu,58,139,700,9,0
